 ******* Program SOILCO2
 *******  Zalf Lysimeter Dedelow Dd_2_6 with Nitrogen                            
 Units: L = cm  , T = day , M = kg  

 CosAlf,MaxIt,TolTh,TolH
 1.000   20 0.00100   0.010

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lCO2,lRoot,lTemp,InitWC
     T     T     T     T     T     F     F     F     T     T     F     T     T
 using plants

Nodal point information

node      x         hOld    MatN LayN  Beta      CO2       Temp     Conc...
     1  9.99991263E-01  4.34341205E-01 -1.14958456E-02  4.19590502E-04  3.74566258E+02
     1  9.99989512E-01  4.34340445E-01 -1.32716733E-02  4.36243999E-04  3.70673942E+02
     1  9.99987412E-01  4.34339532E-01 -1.53218231E-02  4.53557566E-04  3.66648653E+02
     1  9.99984890E-01  4.34338437E-01 -1.76886710E-02  4.71557143E-04  3.62486858E+02
     1  9.99981864E-01  4.34337123E-01 -2.04211391E-02  4.90269629E-04  3.58185028E+02
     1  9.99978231E-01  4.34335545E-01 -2.35757069E-02  5.09722912E-04  3.53739647E+02
     1  9.99973871E-01  4.34333651E-01 -2.72175785E-02  5.29945884E-04  3.49147227E+02
     1  9.99968638E-01  4.34331378E-01 -3.14220304E-02  5.50968453E-04  3.44404321E+02
     1  9.99962356E-01  4.34328650E-01 -3.62759676E-02  5.72821556E-04  3.39507543E+02
     1  9.99954817E-01  4.34325375E-01 -4.18797196E-02  5.95537157E-04  3.34453583E+02
     1  9.99945768E-01  4.34321444E-01 -4.83491146E-02  6.19148241E-04  3.29239231E+02
     1  9.99934906E-01  4.34316727E-01 -5.58178733E-02  6.43688790E-04  3.23861400E+02
     1  9.99921870E-01  4.34311065E-01 -6.44403730E-02  6.69193746E-04  3.18317151E+02
     1  9.99906224E-01  4.34304269E-01 -7.43948386E-02  6.95698956E-04  3.12603723E+02
     1  9.99887446E-01  4.34296113E-01 -8.58870262E-02  7.23241084E-04  3.06718566E+02
     1  9.99864910E-01  4.34286324E-01 -9.91544765E-02  7.51857498E-04  3.00659378E+02
     1  9.99837862E-01  4.34274576E-01 -1.14471424E-01  7.81586112E-04  2.94424146E+02
     1  9.99805403E-01  4.34260478E-01 -1.32154467E-01  8.12465174E-04  2.88011189E+02
     1  9.99766449E-01  4.34243558E-01 -1.52569108E-01  8.44532995E-04  2.81419213E+02
     1  9.99719704E-01  4.34223255E-01 -1.76137313E-01  8.77827593E-04  2.74647365E+02
     1  9.99663612E-01  4.34198892E-01 -2.03346231E-01  9.12386237E-04  2.67695297E+02
     1  9.99596309E-01  4.34169659E-01 -2.34758263E-01  9.48244864E-04  2.60563238E+02
